Country,EdLevel,YearsCodePro,Salary
51,0,6.0,80000.0
50,0,7.0,69102.0
51,1,1.0,128750.0
51,0,3.0,170000.0
51,1,8.0,125000.0
51,0,4.0,80000.0
50,1,3.0,45858.0
4,0,7.0,63986.0
51,1,4.0,170000.0
45,1,35.0,65820.0
20,0,8.0,77383.0
51,1,4.0,100000.0
31,0,10.0,103705.0
51,0,0.5,120000.0
51,1,13.0,200000.0
51,0,2.0,165000.0
12,2,2.0,77436.0
19,0,10.0,46872.0
50,1,25.0,163331.0
46,3,15.0,134445.0
1,3,20.0,99080.0
20,0,6.0,51589.0
24,0,10.0,125544.0
51,0,7.0,250000.0
0,1,14.0,30300.0
51,1,3.0,95000.0
16,0,18.0,33603.0
35,0,3.0,31908.0
51,1,9.0,81000.0
51,2,0.5,105000.0
50,0,2.0,37692.0
51,0,10.0,175000.0
4,1,4.0,53748.0
29,0,6.0,83184.0
51,0,6.0,120000.0
15,0,12.0,74651.0
51,2,14.0,195000.0
43,2,7.0,69318.0
24,1,23.0,157836.0
51,0,5.0,160000.0
51,1,4.0,181000.0
51,0,11.0,145000.0
19,0,23.0,40176.0
17,2,4.0,85315.0
16,2,18.0,92136.0
51,0,3.0,82000.0
51,1,9.0,180000.0
51,0,8.0,230000.0
12,2,10.0,80868.0
11,2,3.0,28584.0
19,1,8.0,53568.0
51,2,3.0,204000.0
17,2,6.0,111976.0
7,0,3.0,55830.0
17,0,3.0,89581.0
12,0,6.0,106680.0
51,2,7.0,236000.0
7,0,5.0,117126.0
51,0,20.0,112000.0
51,0,11.0,90000.0
51,0,16.0,130000.0
51,0,10.0,122500.0
32,2,4.0,32588.0
51,0,4.0,91000.0
45,2,6.0,52104.0
7,0,25.0,234252.0
36,0,7.0,53322.0
51,2,7.0,150000.0
51,0,0.5,120000.0
24,0,7.0,172188.0
51,0,4.0,240000.0
25,0,2.0,117308.0
7,0,17.0,101509.0
51,2,3.0,92000.0
42,2,8.0,164370.0
51,2,7.0,95000.0
51,1,0.5,45000.0
17,0,2.0,16632.0
43,0,10.0,35192.0
50,2,0.5,43974.0
7,0,6.0,81988.0
17,1,2.0,49908.0
51,2,16.0,140000.0
50,0,5.0,113075.0
51,0,1.0,110000.0
51,1,10.0,100000.0
51,0,5.0,85000.0
50,0,4.0,113075.0
51,2,7.0,230000.0
51,0,8.0,165000.0
51,2,3.0,180000.0
5,2,10.0,110000.0
5,3,7.0,32412.0
51,1,22.0,120000.0
51,0,3.0,85000.0
29,2,0.5,42657.0
51,1,12.0,250000.0
51,0,24.0,130000.0
7,2,11.0,100000.0
51,0,2.0,140000.0
35,0,3.0,33300.0
27,1,0.5,18048.0
51,0,4.0,130000.0
45,2,22.0,73140.0
5,1,17.0,37392.0
20,2,3.0,64486.0
51,1,4.0,170000.0
45,2,3.0,63384.0
15,0,15.0,44796.0
51,0,7.0,170000.0
51,2,6.0,115000.0
2,1,0.5,47776.0
51,0,7.0,100000.0
51,2,2.0,151000.0
16,2,6.0,42231.0
7,0,0.5,48998.0
19,1,8.0,60252.0
51,1,6.0,200000.0
51,0,7.0,159000.0
7,0,1.0,54020.0
12,2,7.0,110124.0
42,2,6.0,37932.0
51,0,3.0,140000.0
51,0,10.0,115000.0
51,0,9.0,55000.0
2,1,3.0,51189.0
51,0,4.0,70000.0
51,3,2.0,218000.0
51,2,32.0,170000.0
51,0,10.0,155000.0
51,0,3.0,155000.0
51,0,2.0,100000.0
51,0,2.0,90000.0
51,0,4.0,150000.0
51,0,20.0,115500.0
25,1,0.5,20472.0
7,0,2.0,70276.0
51,0,32.0,250000.0
24,0,6.0,69588.0
45,1,17.0,182841.0
51,0,7.0,140000.0
50,0,6.0,109826.0
51,0,2.0,100000.0
45,1,16.0,91416.0
15,0,4.0,63984.0
28,0,10.0,30108.0
22,2,12.0,70920.0
51,0,37.0,126000.0
25,2,8.0,47990.0
51,0,5.0,155000.0
51,0,10.0,180000.0
2,2,7.0,46068.0
50,0,6.0,65332.0
50,1,10.0,62820.0
7,3,7.0,136647.0
51,1,7.0,185000.0
51,0,5.0,66000.0
51,0,5.0,90000.0
16,2,2.0,38388.0
7,0,22.0,106975.0
7,0,12.0,78084.0
7,0,18.0,105414.0
16,2,4.0,66119.0
24,1,10.0,118380.0
50,0,6.0,100511.0
29,0,2.0,39672.0
51,1,2.0,243000.0
5,0,3.0,24429.0
24,0,23.0,121968.0
51,0,19.0,130000.0
20,0,0.5,21925.0
7,0,9.0,71027.0
48,1,13.0,15780.0
50,0,0.5,43974.0
51,0,6.0,55000.0
17,1,10.0,101312.0
51,0,19.0,230000.0
51,0,14.0,220000.0
43,1,3.0,37325.0
24,0,7.0,136308.0
32,0,2.0,34548.0
7,0,5.0,67152.0
45,0,6.0,85320.0
18,0,7.0,58654.0
51,0,5.0,88000.0
51,3,7.0,167000.0
12,0,5.0,86405.0
3,0,3.0,11233.0
51,0,3.0,73000.0
51,0,26.0,190000.0
17,0,2.0,54388.0
51,1,10.0,165000.0
48,0,4.0,18036.0
51,0,0.5,94000.0
7,0,2.0,70276.0
38,2,5.0,41556.0
51,0,4.0,120000.0
17,1,22.0,59724.0
31,0,11.0,134817.0
29,0,3.0,53322.0
50,2,6.0,64076.0
7,0,6.0,78084.0
51,0,10.0,200000.0
31,2,1.0,57038.0
51,0,2.0,230000.0
50,2,2.0,52769.0
51,0,2.0,107350.0
51,0,2.0,86000.0
51,0,5.0,115000.0
7,1,4.0,51536.0
50,0,7.0,100511.0
31,2,11.0,124447.0
51,2,5.0,210000.0
51,1,26.0,195000.0
32,2,9.0,58500.0
51,0,0.5,89000.0
51,0,6.0,125000.0
51,1,3.0,200000.0
50,3,25.0,124383.0
17,2,4.0,37116.0
32,0,3.0,17880.0
18,2,6.0,37325.0
24,1,3.0,21528.0
32,0,2.0,33600.0
39,0,4.0,65053.0
45,2,15.0,63384.0
20,2,5.0,11208.0
51,1,1.0,65000.0
16,2,4.0,38388.0
20,2,1.0,60000.0
51,0,12.0,250000.0
51,0,2.0,145000.0
31,2,5.0,87113.0
20,0,4.0,137355.0
51,0,12.0,180000.0
51,2,12.0,113000.0
7,0,13.0,101509.0
31,2,1.0,66371.0
45,1,6.0,60948.0
7,0,4.0,52316.0
51,0,5.0,185000.0
51,0,3.0,110000.0
31,2,1.0,57038.0
17,0,3.0,80623.0
18,0,7.0,31993.0
33,0,2.0,30000.0
51,0,5.0,110000.0
27,0,4.0,44796.0
32,2,18.0,33408.0
35,1,1.0,23592.0
51,0,15.0,100000.0
1,1,5.0,99080.0
17,0,2.0,67186.0
16,2,3.0,49056.0
51,0,3.0,100000.0
51,0,1.0,104750.0
17,2,5.0,63986.0
46,2,5.0,99288.0
49,0,10.0,48000.0
45,0,3.0,54852.0
51,2,14.0,140000.0
45,0,10.0,61056.0
20,0,0.5,10318.0
31,2,3.0,82964.0
15,0,4.0,57588.0
12,2,7.0,91200.0
16,2,18.0,76783.0
51,0,7.0,100000.0
25,1,4.0,31992.0
14,1,11.0,99816.0
51,1,6.0,125000.0
51,0,6.0,160000.0
32,0,4.0,31620.0
16,2,8.0,66119.0
51,0,5.0,123141.0
50,1,7.0,81666.0
45,2,7.0,60948.0
51,0,4.0,70000.0
19,0,2.0,25104.0
51,1,18.0,170000.0
7,0,4.0,71681.0
17,2,2.0,66119.0
51,0,0.5,80000.0
20,0,4.0,38692.0
16,2,1.0,42657.0
35,0,6.0,27750.0
51,2,4.0,102000.0
51,3,4.0,110000.0
51,0,9.0,115000.0
5,2,5.0,14952.0
51,1,11.0,83000.0
45,1,2.0,43884.0
16,2,10.0,164000.0
51,0,4.0,128000.0
51,1,23.0,165000.0
46,3,15.0,198564.0
16,3,0.5,20220.0
32,2,10.0,62520.0
51,0,12.0,222000.0
0,0,15.0,114000.0
16,1,11.0,63986.0
51,0,23.0,105000.0
51,0,0.5,65000.0
51,2,3.0,165000.0
51,0,0.5,74000.0
51,2,10.0,205000.0
11,0,8.0,34812.0
50,1,25.0,46487.0
7,0,2.0,180000.0
4,2,3.0,60787.0
24,0,6.0,136308.0
12,1,18.0,82596.0
51,0,10.0,151000.0
50,0,0.5,32666.0
51,0,9.0,180000.0
14,1,11.0,93846.0
51,2,10.0,160000.0
51,0,6.0,130000.0
51,0,20.0,150000.0
18,1,9.0,32846.0
17,2,2.0,56304.0
51,0,4.0,163500.0
29,2,20.0,91714.0
51,0,28.0,250000.0
31,3,12.0,108891.0
51,0,9.0,130000.0
32,2,4.0,26484.0
51,2,9.0,207000.0
34,1,0.5,44784.0
51,0,13.0,190000.0
12,3,6.0,96360.0
17,1,7.0,74651.0
32,2,8.0,46070.0
51,0,14.0,175000.0
46,2,20.0,144787.0
29,0,5.0,44232.0
19,2,21.0,43524.0
51,1,3.0,65000.0
42,0,27.0,113795.0
17,2,3.0,53322.0
51,0,11.0,130000.0
51,0,6.0,160000.0
5,2,17.0,102204.0
32,2,8.0,18708.0
29,0,7.0,63986.0
51,1,0.5,95000.0
50,0,18.0,103024.0
51,0,16.0,195000.0
17,2,12.0,69318.0
46,2,0.5,186155.0
51,0,2.0,62000.0
48,2,10.0,75156.0
50,2,0.5,125639.0
12,2,6.0,94644.0
51,0,8.0,185000.0
7,0,5.0,70276.0
32,2,7.0,34620.0
51,0,15.0,68000.0
12,1,6.0,87756.0
17,2,7.0,79983.0
17,2,2.0,58872.0
50,2,5.0,50256.0
51,1,12.0,130000.0
51,1,5.0,200000.0
35,0,15.0,111000.0
51,0,4.0,200000.0
51,1,6.0,60000.0
50,3,0.5,52764.0
4,0,7.0,55032.0
45,1,5.0,62412.0
51,0,10.0,70000.0
17,2,6.0,47990.0
37,0,17.0,51768.0
51,0,5.0,120000.0
17,1,7.0,63984.0
7,0,4.0,92334.0
8,2,31.0,155000.0
51,2,42.0,180000.0
7,0,3.0,62467.0
51,1,2.0,130000.0
31,0,15.0,98520.0
7,0,4.0,101509.0
17,2,2.0,36492.0
51,2,6.0,177000.0
12,0,4.0,65388.0
51,0,10.0,165000.0
51,2,11.0,151992.0
51,1,38.0,105000.0
51,2,1.0,110000.0
50,2,2.0,43974.0
29,1,5.0,69318.0
51,0,13.0,73000.0
42,2,10.0,94829.0
45,1,22.0,79236.0
48,2,2.0,15036.0
51,2,9.0,135000.0
31,0,9.0,75705.0
16,3,17.0,106644.0
51,0,3.0,154000.0
7,0,3.0,101509.0
51,0,14.0,225000.0
32,0,3.0,45888.0
31,0,9.0,106274.0
51,2,35.0,152000.0
50,0,6.0,46487.0
50,0,2.0,59050.0
51,0,28.0,200000.0
7,0,3.0,68324.0
7,0,5.0,58563.0
51,0,1.0,80000.0
51,0,2.0,99000.0
19,0,4.0,33480.0
17,2,3.0,59508.0
50,0,6.0,75384.0
17,0,3.0,51192.0
51,0,3.0,66000.0
16,0,2.0,53322.0
17,2,5.0,54388.0
51,0,4.0,250000.0
24,0,9.0,115500.0
7,1,15.0,195210.0
50,2,6.0,71614.0
51,1,10.0,150000.0
51,0,1.0,92700.0
45,1,5.0,48996.0
25,1,11.0,63986.0
50,3,11.0,57794.0
45,3,6.0,53628.0
51,0,7.0,130000.0
51,0,1.0,60000.0
23,0,0.5,44790.0
51,0,26.0,123000.0
51,0,5.0,190000.0
51,0,8.0,96000.0
45,1,6.0,79236.0
16,1,21.0,82116.0
24,0,10.0,136308.0
41,0,2.0,35832.0
51,0,11.0,228800.0
17,0,6.0,85315.0
38,1,3.0,41556.0
30,0,20.0,90067.0
51,0,4.0,115000.0
51,0,12.0,120000.0
51,1,1.0,82000.0
29,2,4.0,76783.0
50,2,4.0,131921.0
20,2,1.0,38692.0
17,1,4.0,44796.0
50,2,9.0,72871.0
30,0,5.0,135100.0
20,0,6.0,70935.0
51,0,3.0,100625.0
5,3,26.0,47364.0
51,0,6.0,106000.0
51,0,9.0,135000.0
16,0,3.0,33060.0
51,0,4.0,107000.0
17,2,7.0,56952.0
51,0,7.0,132000.0
51,0,3.0,130000.0
16,2,9.0,80623.0
51,0,30.0,220000.0
51,2,10.0,250000.0
51,0,1.0,80000.0
51,0,12.0,150000.0
51,0,12.0,230000.0
45,1,9.0,73140.0
50,3,4.0,50256.0
17,1,23.0,78916.0
29,2,9.0,51192.0
38,0,3.0,62340.0
7,2,2.0,62467.0
51,0,4.0,60800.0
51,2,11.0,126000.0
43,0,7.0,34548.0
51,0,1.0,101000.0
51,2,2.0,75000.0
29,0,4.0,93846.0
50,0,18.0,67845.0
51,1,20.0,115000.0
51,0,6.0,110000.0
7,2,10.0,62467.0
51,0,5.0,114000.0
50,0,12.0,81666.0
50,1,10.0,65332.0
36,2,1.0,19200.0
35,2,25.0,49956.0
46,0,21.0,134445.0
36,2,4.0,19200.0
17,2,4.0,101312.0
50,3,6.0,82922.0
4,0,9.0,83182.0
51,0,10.0,110000.0
50,2,4.0,113075.0
50,0,15.0,46487.0
17,2,3.0,79983.0
51,0,3.0,187000.0
51,2,9.0,175000.0
51,1,13.0,129000.0
35,0,5.0,63828.0
7,0,4.0,70276.0
17,0,9.0,122640.0
17,2,5.0,55455.0
29,1,7.0,63984.0
28,0,5.0,48168.0
12,2,5.0,86040.0
45,2,8.0,64608.0
43,1,10.0,63986.0
43,0,0.5,20472.0
35,0,9.0,63828.0
11,2,4.0,38976.0
51,0,1.0,89000.0
51,2,6.0,150000.0
31,0,1.0,51853.0
30,0,36.0,128667.0
32,3,15.0,96000.0
50,2,2.0,125639.0
51,0,6.0,53000.0
19,2,20.0,33480.0
2,0,17.0,98112.0
51,0,1.0,200000.0
17,2,7.0,138637.0
35,1,2.0,14136.0
45,1,8.0,141396.0
51,1,7.0,90000.0
45,1,11.0,63994.0
50,0,14.0,106793.0
11,1,10.0,41568.0
20,2,11.0,46430.0
12,0,10.0,74856.0
50,1,3.0,69102.0
17,2,10.0,133305.0
51,0,5.0,130000.0
51,2,20.0,201000.0
17,2,2.0,67186.0
51,0,3.0,140000.0
29,0,3.0,51192.0
51,0,2.0,120000.0
51,0,8.0,240000.0
51,1,3.0,92000.0
51,0,1.0,180000.0
51,0,3.0,86000.0
51,0,4.0,105000.0
12,0,5.0,106680.0
5,1,17.0,16704.0
45,1,6.0,81263.0
16,2,13.0,69318.0
45,0,12.0,93864.0
24,2,2.0,132720.0
28,0,14.0,50027.0
50,2,26.0,90460.0
50,0,0.5,26384.0
51,0,18.0,175000.0
7,0,4.0,203019.0
51,0,4.0,164000.0
50,1,26.0,84178.0
51,2,4.0,115000.0
51,2,3.0,150000.0
7,0,2.0,49583.0
6,0,9.0,34126.0
51,1,8.0,95000.0
51,0,6.0,150000.0
26,0,6.0,43131.0
51,0,5.0,80000.0
30,0,6.0,70767.0
51,0,25.0,140000.0
51,0,2.0,82500.0
45,2,1.0,58512.0
51,1,26.0,165000.0
51,1,6.0,125000.0
50,0,10.0,75384.0
31,0,3.0,58075.0
17,2,5.0,57588.0
27,3,5.0,38388.0
50,0,4.0,51512.0
51,0,8.0,135000.0
5,1,10.0,12468.0
37,0,4.0,64709.0
45,0,5.0,57288.0
17,0,5.0,58654.0
51,0,3.0,185000.0
51,2,4.0,135000.0
45,1,1.0,42660.0
12,2,14.0,120444.0
24,1,3.0,89676.0
50,1,8.0,75384.0
12,2,2.0,73992.0
51,0,3.0,95000.0
51,0,14.0,150000.0
50,0,4.0,80409.0
24,0,19.0,172183.0
51,0,1.0,170000.0
51,0,8.0,200000.0
16,2,7.0,79983.0
25,2,7.0,44790.0
51,0,9.0,170000.0
17,1,11.0,87444.0
51,1,3.0,65000.0
36,2,16.0,37116.0
51,1,5.0,120000.0
50,0,6.0,82922.0
16,2,2.0,36259.0
43,2,10.0,53322.0
7,2,10.0,171785.0
2,3,20.0,111976.0
51,0,2.0,80000.0
35,2,22.0,33300.0
51,0,10.0,200000.0
35,0,11.0,29412.0
1,0,17.0,108280.0
51,1,3.0,99000.0
51,1,0.5,80000.0
51,3,32.0,180000.0
50,2,3.0,62820.0
48,0,11.0,90192.0
18,0,7.0,38392.0
51,0,3.0,155000.0
7,0,5.0,35138.0
51,0,32.0,225000.0
51,0,0.5,78000.0
30,0,3.0,45033.0
16,2,5.0,31993.0
18,0,9.0,37325.0
51,0,1.0,65000.0
51,3,18.0,130000.0
51,1,7.0,115000.0
50,0,9.0,87948.0
16,2,27.0,99179.0
34,1,7.0,34452.0
7,0,2.0,62467.0
7,2,5.0,62467.0
45,2,8.0,70092.0
51,0,25.0,130000.0
51,0,2.0,140000.0
42,2,6.0,61824.0
51,1,2.0,30000.0
51,1,8.0,127000.0
17,2,4.0,86381.0
25,1,8.0,60894.0
24,0,5.0,150660.0
17,0,3.0,65053.0
51,0,13.0,165000.0
17,2,8.0,95979.0
50,2,7.0,75384.0
16,0,1.0,44790.0
51,0,2.0,97600.0
24,1,23.0,179352.0
